id,name,artists,time_signature,tempo,valence,liveness,instrumentalness,acousticness,speechiness,mode,loudness,key,energy,danceability
5aZrmUOr1kL5U6cg0WZNyw,7 Min Freestyle,21 Savage,4,155.029,0.274,0.126,0.787,0.0723,0.259,1,-9.028,1,0.454,0.844
1tyjWMMINb9S0YBynTvJ7s,No Flag,London On Da Track,4,157.961,0.146,0.115,0,0.0856,0.348,1,-7.253,1,0.58,0.809
1UyLFPOIG7E1OfamPQLOfD,Ocean Drive,21 Savage,4,137.984,0.136,0.116,0.000545,0.126,0.181,0,-7.486,4,0.525,0.764
74BIr8H03lr5L6LZ1friIa,Dead People,21 Savage,4,158.923,0.211,0.115,0.000458,0.297,0.343,0,-11.666,5,0.521,0.835
40WxFAbt8UEK7jKLmIxRNY,Offended (feat. Young Thug & 21 Savage),Meek Mill,4,123.968,0.363,0.103,0,0.187,0.341,0,-7.399,4,0.53,0.92
6djNCvsOpseUl83uWqAl6A,Balenciaga (feat. 21 Savage),Lil Keed,4,77.532,0.485,0.0891,0,0.0317,0.23,1,-8.37,5,0.442,0.868
2kE82JhBcoS7mimFO1SqqX,No Advance,21 Savage,4,108.09,0.0391,0.0799,8.35e-05,0.104,0.28,1,-11.543,1,0.357,0.829
3xAXYCtd98G5G0SSJAHtqd,Dip Dip,21 Savage,4,83.021,0.367,0.131,0.0326,0.128,0.145,1,-8.574,7,0.597,0.726
7DuvVy7JfFgXwWlVzyyPys,Pull Up N Wreck (& Metro Boomin),Big Sean,4,173.095,0.091,0.186,0.00103,0.00806,0.353,1,-7.76,10,0.44,0.49
24W9LlHIfhALtn33zBnnQr,Outstanding (feat. 21 Savage),SahBabii,4,151.059,0.354,0.097,7e-05,0.341,0.169,0,-6.186,11,0.59,0.795
5V57eUQoTrMCZqonhzi8B9,Real Nigga,21 Savage,4,155.97,0.163,0.197,0.69,0.0915,0.362,0,-10.915,0,0.225,0.87
6GmjF0MtrK8UHQlIh6tzRt,Crisis (feat. 21 Savage),Rich Brian,4,144.992,0.668,0.12,5.17e-05,0.0699,0.227,0,-5.942,11,0.671,0.898
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,4,155.008,0.446,0.124,0,0.00513,0.222,1,-3.714,8,0.73,0.834
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,Travis Scott,4,140.958,0.193,0.114,0,0.0531,0.05,1,-5.85,11,0.628,0.763
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,4,130.049,0.43,0.149,0,0.0847,0.0484,1,-3.37,7,0.728,0.841
7wBJfHzpfI3032CSD7CE2m,STARGAZING,Travis Scott,4,150.007,0.0564,0.189,4.05e-06,0.00947,0.044,1,-3.69,8,0.789,0.487
27a1mYSG5tYg7dmEjWBcmL,CAN'T SAY,Travis Scott,4,147.98,0.713,0.118,0,0.201,0.0547,0,-5.366,10,0.708,0.702
1wHZx0LgzFHyeIZkUydNXq,Antidote,Travis Scott,4,131.05,0.131,0.124,0.000148,0.00767,0.032,1,-5.046,1,0.526,0.713
58TaFP5j5i9swOf584yon2,HOUSTONFORNICATION,Travis Scott,4,160.042,0.288,0.158,0,0.0985,0.0836,0,-4.052,0,0.723,0.689
6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,Travis Scott,4,147.045,0.426,0.411,0,0.0204,0.0712,1,-3.225,1,0.811,0.731
4SZepBIPDRwPaHIjAKwRDb,R.I.P. SCREW,Travis Scott,4,74.946,0.556,0.111,1.6e-05,0.389,0.291,0,-5.978,0,0.609,0.607
1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,Travis Scott,4,150.009,0.113,0.135,0,0.221,0.0628,0,-3.738,4,0.567,0.588
7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,Travis Scott,4,128.047,0.144,0.116,3.4e-06,0.283,0.0409,1,-6.571,0,0.554,0.785
11kDth1aKUEUMq9r1pqyds,5% TINT,Travis Scott,4,140.0,0.062,0.241,0,0.173,0.0487,0,-5.415,4,0.481,0.712
1cZlBZwnwGPtYeRIeQcoFh,wonderful,Travis Scott,4,146.062,0.612,0.0571,0,0.0737,0.0786,0,-5.591,1,0.569,0.769
1Ci4wASMY4xtKVMeHA6Sd5,through the late night,Travis Scott,4,127.051,0.242,0.119,0,0.36,0.0359,0,-1.218,5,0.589,0.744
20MuVazoNMv6xjKPnRFOxG,WAKE UP,Travis Scott,4,149.07,0.488,0.163,0,0.192,0.0963,0,-5.116,11,0.645,0.741
6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,Travis Scott,4,148.054,0.252,0.375,0,0.00146,0.0367,0,-5.948,0,0.686,0.46
7KZ5MMVgBVox9ycroB2UrI,CAROUSEL,Travis Scott,5,95.387,0.133,0.22,0,0.229,0.209,0,-5.914,5,0.403,0.428
0ESJlaM8CE1jRWaNtwSNj8,beibs in the trap,Travis Scott,4,119.054,0.495,0.291,0,0.24,0.145,0,-6.054,7,0.571,0.743
4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,Travis Scott,4,151.901,0.286,0.111,4.81e-05,0.142,0.0661,0,-8.111,4,0.46,0.7
6nO3tr47nr2P7f3hXb8JIo,Champion (feat. Travis Scott),NAV,4,162.005,0.396,0.108,0,0.381,0.0477,0,-3.395,5,0.782,0.642
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,Travis Scott,4,140.001,0.681,0.0731,0,0.0462,0.0566,0,-5.603,10,0.731,0.834
2Zy7XVdxyZQB8xp5xbpJdl,way back,Travis Scott,4,117.384,0.17,0.612,0,0.222,0.0488,1,-5.048,0,0.554,0.396
5cgEadiGKjtTP1Q6NJqVP5,A-Team,Travis Scott,4,127.977,0.17,0.107,0.00627,0.0485,0.0452,0,-4.112,7,0.526,0.626
6BJbOXDlgVAXSaq6wYFYT2,NC-17,Travis Scott,4,136.052,0.0585,0.368,0,0.0678,0.0519,1,-5.48,2,0.763,0.804
3SEd8nPd8MpGwk6ZZ8tk2j,Mamacita,Travis Scott,4,115.021,0.216,0.127,1.03e-06,0.0146,0.0819,1,-6.21,11,0.768,0.823
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),Travis Scott,4,78.534,0.252,0.379,0,0.0372,0.0416,0,-5.216,4,0.559,0.706
2bjwRfXMk4uRgOD9IBYl9h,Portland,Drake,4,136.088,0.314,0.26,0,0.0143,0.243,1,-8.227,1,0.444,0.924
3YeJXuRSNS5FYwOsDu44kD,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,4,121.056,0.226,0.138,0,0.15,0.0975,0,-2.881,8,0.824,0.379
5cXg9IQS34FzLVdHhp7hu7,Big Shot (with Travis Scott),Kendrick Lamar,4,130.018,0.284,0.101,0,0.00759,0.193,1,-9.116,1,0.478,0.855
204U3zjm9kkzX25Pr4Rdld,Kelly Price (feat. Travis Scott),Migos,4,121.977,0.437,0.176,0,0.53,0.0313,0,-5.7,4,0.685,0.745
1nX9KhK3Fff27SnrIor2Yb,4 AM,2 Chainz,4,75.012,0.227,0.155,0,0.118,0.425,1,-7.21,1,0.5,0.796
7foypmc7KZyU716Yv63BPe,Saint,Huncho Jack,4,150.06,0.0658,0.106,0,0.00823,0.0588,1,-3.656,0,0.642,0.857
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),Miguel,4,145.965,0.183,0.0866,0,0.173,0.0434,1,-10.532,6,0.506,0.674
7g7raxdQpiLZT7aOlib4S1,Motorcycle Patches,Huncho Jack,4,162.835,0.416,0.106,0,0.0158,0.117,1,-5.081,8,0.656,0.87
0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),SZA,4,135.002,0.409,0.162,0,0.111,0.0747,1,-6.2,0,0.594,0.795
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,4,124.045,0.18,0.132,0,0.00134,0.0323,0,-3.801,3,0.728,0.522
6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,Travis Scott,4,95.004,0.503,0.207,0.00681,0.0862,0.125,0,-5.098,5,0.582,0.81
3K6U7TamNyVSWcFH8pCQHX,Love Hurts (feat. Travis Scott),Playboi Carti,4,140.981,0.464,0.111,1.36e-05,0.0315,0.0496,0,-5.763,4,0.45,0.724
1oUudyBYVGMIC8JXeIsFzq,CLOSE (feat. Travis Scott) - From SR3MM,Rae Sremmurd,4,140.034,0.0395,0.111,0,0.104,0.0321,1,-4.993,0,0.736,0.691
628Ueb4sRiXApObhcU9iPU,Black & Chinese,Huncho Jack,4,159.132,0.346,0.123,0.000974,0.00277,0.101,1,-4.152,1,0.842,0.663
3wAI7MIQtTgwcRmwchPZBc,Go Legend (& Metro Boomin),Big Sean,4,150.014,0.25,0.165,1.39e-06,0.0167,0.0883,0,-8.925,1,0.564,0.656
2KokOIKdw4zZutDil85Ugh,White Sand,Migos,4,142.104,0.419,0.272,0,0.0317,0.0824,0,-7.57,5,0.58,0.833
7LJkGyL4vVrtn1mho7BmtA,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,4,119.041,0.483,0.126,9.64e-06,0.132,0.0999,0,-4.414,7,0.814,0.738
4vwfOiyWxXeEdx4ejAJgdx,Eye 2 Eye,Huncho Jack,4,146.028,0.179,0.102,0,0.00125,0.128,1,-4.41,2,0.65,0.811
7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,4,80.02,0.294,0.1,0.0816,0.0609,0.136,0,-8.152,5,0.569,0.85
3ZYwSDF9knZI0RVlKR4PHC,Bad Company (feat. BlocBoy JB),A$AP Rocky,4,144.941,0.343,0.536,0,0.0679,0.413,1,-7.94,8,0.529,0.901
1jzIJcHCXneHw7ojC6LXiF,Potato Salad,"Tyler, The Creator",4,168.197,0.684,0.213,0,0.308,0.424,1,-6.02,2,0.612,0.538
5N521RK66Z1FP0Oz6B4OlT,Gunz N Butter,A$AP Rocky,4,140.489,0.716,0.142,0,0.606,0.431,0,-8.08,11,0.632,0.852
3oHkMCVJyOcjg5FhfLc2Rq,A$AP Forever REMIX,A$AP Rocky,4,62.839,0.392,0.136,0,0.299,0.275,0,-6.416,10,0.754,0.322
7AijU6oTPGmG64uWf63Qvc,1Train,A$AP Rocky,4,83.568,0.768,0.695,0,0.349,0.332,1,-3.403,2,0.872,0.622
4go2hxLM6ijk0K76ZY0Nhd,Goldie,A$AP Rocky,4,81.958,0.743,0.378,3.02e-05,0.22,0.241,1,-4.919,1,0.843,0.68
52eYVUkFTOVozbVFIaFrnV,Tony Tone,A$AP Rocky,4,69.716,0.334,0.0831,0,0.139,0.261,1,-4.013,1,0.783,0.534
4XoP1AkbOurU9CeZ2rMEz2,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,4,96.006,0.668,0.114,1e-06,0.0208,0.263,1,-6.816,1,0.687,0.869
3ncgNpxLoBQ65ABk4djDyd,PICK IT UP (feat. A$AP Rocky),Famous Dex,4,135.995,0.287,0.334,0.000238,0.0149,0.119,1,-8.443,1,0.467,0.921
2Xqd0wUttjueBfdcltADOv,No Limit,G-Eazy,4,175.957,0.405,0.0853,0,0.0117,0.244,1,-3.791,1,0.771,0.838
1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep,A$AP Rocky,4,135.937,0.307,0.219,7.43e-05,0.443,0.364,1,-9.305,2,0.412,0.793
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,4,125.004,0.735,0.143,3.71e-06,0.176,0.0606,1,-6.364,6,0.704,0.721
4S7YHmlWwfwArgd8LfSPud,L$D,A$AP Rocky,4,120.06,0.0352,0.0992,0.138,0.193,0.0647,1,-15.086,2,0.252,0.598
3sTN90bIP2cJ1783ctHykO,Love$ick (feat. A$AP Rocky),Mura Masa,4,88.753,0.721,0.214,0.0106,0.147,0.129,0,-4.997,8,0.763,0.625
7xVLFuuYdAvcTfcP3IG3dS,Work REMIX,A$AP Ferg,4,130.009,0.284,0.174,0,0.0246,0.142,1,-5.077,1,0.733,0.841
2N3U8uTYhjX2KwGT0pf5x0,Everyday,A$AP Rocky,4,149.822,0.335,0.343,0,0.0101,0.193,1,-8.684,4,0.661,0.394
21yRtB6B8EMounImAfHRCP,Who Dat Boy,"Tyler, The Creator",4,115.414,0.144,0.122,0,0.337,0.331,1,-9.671,8,0.485,0.706
50wkDxcIfamIajKwmgp0iB,HANDGUN (feat. A$AP Rocky),YG,4,159.104,0.427,0.374,0,0.0195,0.464,1,-7.714,8,0.546,0.843
6AHNkRbVzkh95xilnYzDT7,Holy Ghost,A$AP Rocky,4,75.844,0.325,0.349,0,0.127,0.19,0,-6.513,10,0.779,0.545
2kfpH2OAAdpk5J3JaraAIh,Hands On The Wheel,ScHoolboy Q,4,127.857,0.164,0.0937,0,0.0169,0.0777,0,-4.527,1,0.862,0.648
0rBMP6VVGRgwnzZCLpijyl,Canal St.,A$AP Rocky,4,137.079,0.524,0.0964,0,0.308,0.301,0,-9.351,3,0.583,0.696
4dz4nfY5LeFUR99uspA5e6,LVL,A$AP Rocky,4,119.899,0.0945,0.122,1.61e-05,0.202,0.0585,0,-6.717,5,0.427,0.613
7eaKWfov7b2Qa2n6HTesL3,Shabba,A$AP Ferg,4,120.0,0.435,0.272,0,0.0715,0.103,1,-6.136,9,0.712,0.869
2rqUblDWJKlMVwh9uJc0Vv,Yamborghini High,A$AP Mob,4,137.767,0.635,0.0779,1.5e-05,0.0283,0.28,1,-6.299,7,0.765,0.838
5VnpYqIzm02X9gOhVElQo3,Telephone Calls,A$AP Mob,4,123.009,0.493,0.242,1.54e-06,0.194,0.267,0,-6.142,2,0.772,0.732
21tQ61tNj6qbXbDwmSIPt9,Multiply,A$AP Rocky,4,114.952,0.176,0.149,0,0.079,0.145,1,-4.475,0,0.783,0.904
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,4,75.023,0.473,0.123,0.00372,0.258,0.145,1,-4.88,8,0.613,0.74
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,4,134.021,0.437,0.297,4.13e-06,0.469,0.242,0,-9.144,0,0.391,0.872
40oKW22ZNNkEdZLJTScaQI,Roll In Peace (feat. XXXTENTACION),Kodak Black,4,140.053,0.363,0.2,0,0.0306,0.245,0,-6.807,10,0.524,0.747
7floNISpH8VF4z4459Qo18,Look At Me!,XXXTENTACION,4,139.059,0.349,0.0976,0,0.259,0.282,1,-6.405,1,0.726,0.763
0Dn40gxVCMo5TkgS8Ik18Q,Falling Down - Bonus Track,Lil Peep,4,120.013,0.273,0.146,0.00294,0.0175,0.0286,0,-6.442,4,0.574,0.669
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,4,128.009,0.711,0.102,0.00404,0.556,0.0804,0,-5.723,9,0.537,0.921
7AQim7LbvFVZJE3O8TYgf2,Fuck Love (feat. Trippie Redd),XXXTENTACION,4,131.036,0.329,0.103,0.000152,0.0172,0.0412,0,-9.74,0,0.533,0.797
5de9Ho64dovuQI8Uhn5gPD,I Don't Wanna Do This Anymore,XXXTENTACION,4,114.208,0.764,0.139,0,0.843,0.041,1,-7.681,4,0.778,0.433
2S2od3hT7ceytw7d1pTRuE,Again,Noah Cyrus,4,119.973,0.203,0.135,5.75e-05,0.188,0.0338,0,-4.095,9,0.738,0.664
7AFASza1mXqntmGtbxXprO,changes,XXXTENTACION,4,64.934,0.52,0.0984,0,0.883,0.029,1,-10.068,11,0.308,0.669
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,XXXTENTACION,4,129.953,0.689,0.112,2.14e-05,0.847,0.133,0,-7.066,7,0.57,0.734
2ooF4088y5L72c4YTEJQoB,YuNg BrAtZ,XXXTENTACION,4,128.063,0.493,0.107,0,0.0179,0.26,1,-5.963,9,0.695,0.755
7uuBfgY1vBCalrQRyyQhqs,Gospel,Rich Brian,4,156.004,0.225,0.11,8.17e-06,0.000856,0.268,1,-6.405,9,0.659,0.681
4UKCKdYiLN6IMA5ZESUTL7,the remedy for a broken heart (why am I so in love),XXXTENTACION,4,119.705,0.271,0.137,0.000993,0.779,0.0993,1,-11.192,1,0.304,0.699
2yZax79pOrYuyIFVW2cZY2,Carry On,XXXTENTACION,4,147.899,0.383,0.296,0.000276,0.768,0.537,0,-13.378,3,0.197,0.735
2gQYziDV5cSTRSqr6akzi5,Take A Step Back,Ski Mask The Slump God,4,117.007,0.747,0.429,0,0.109,0.273,1,-8.81,6,0.59,0.802
658I1uDnmLSiltFCf98AWE,RIP Roach (feat. $ki Mask The Slump God),XXXTENTACION,4,105.003,0.555,0.0926,0,0.398,0.306,1,-6.443,8,0.62,0.727
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,4,146.04,0.225,0.146,0.000331,0.661,0.0603,0,-6.081,9,0.457,0.592
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,XXXTENTACION,4,139.999,0.18,0.106,0.00203,0.782,0.259,0,-16.169,11,0.251,0.746
6vkczNPCftHsMJpjYYiXDp,Banded Up (feat. XXXTENTACION),Ronny J,4,157.035,0.312,0.122,0,0.0521,0.15,1,-3.46,7,0.731,0.698
1B3TX5FbmcVROMv2riOwyE,Looking for a Star,XXXTENTACION,4,118.981,0.713,0.0964,0.00012,0.15,0.0857,1,-7.544,9,0.692,0.915
01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,4,159.91,0.196,0.131,0.179,0.1,0.0251,0,-8.024,11,0.416,0.414
2H3wWrnO758y0fPH7Ilerg,Depression & Obsession,XXXTENTACION,4,105.95,0.527,0.102,0.015,0.585,0.035,0,-10.7,11,0.156,0.769
0GRmh4ZlobfhvDE9L4CbOs,Off the Wall!,XXXTENTACION,4,140.001,0.545,0.134,0,0.123,0.333,1,-10.173,1,0.374,0.834
1Wh5LO3TWAvaeDrwp4FZgo,King,XXXTENTACION,4,99.886,0.0949,0.207,0.00692,0.102,0.0319,1,-12.405,0,0.154,0.421
3wBAhQLR9VjWfyYO3u4oPR,What in XXXTarnation,XXXTENTACION,4,119.088,0.433,0.0993,0,0.174,0.179,1,-5.583,7,0.591,0.853
6rdAeP52MWJeyYD2B481mq,H2O,Ski Mask The Slump God,4,139.944,0.892,0.4,0,0.189,0.33,1,-1.313,0,0.762,0.74
5BYCMWNQqz4nqErN1ReRGL,Curse,Bass Santana,5,88.399,0.703,0.215,0,0.552,0.445,1,-7.504,11,0.64,0.556
3QVIBuVrIe5IHOZepa7JBZ,Slipknot (feat. Kin$oul & Killstation),XXXTENTACION,4,81.92,0.237,0.1,0,0.47,0.397,0,-11.34,4,0.541,0.448
7dI3HTnuicC2aKkXigoFS2,777,Kid Trunks,4,84.97,0.525,0.111,0.00324,0.325,0.0602,0,-12.01,3,0.312,0.793
3axhnTsNa4YefoyLGxjdWz,Bowser,XXXTENTACION,4,135.008,0.425,0.332,0,0.309,0.0468,0,-8.293,10,0.491,0.8
1j6CwAJS2PTMvDYp33zpWP,H2O,XXXTENTACION,4,139.783,0.827,0.351,0,0.394,0.31,1,-7.826,0,0.608,0.717
05And5JRQJeIaMASE5D9Nj,4Peat,XXXTENTACION,4,150.016,0.215,0.105,0,0.0031,0.356,1,-9.934,1,0.515,0.914
1XRgIKC5TPwo7nWGyKqgG0,I Get The Bag (feat. Migos),Gucci Mane,4,139.948,0.425,0.0993,0.000343,0.0232,0.168,1,-5.475,11,0.633,0.89
6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),Migos,4,141.967,0.741,0.104,0,0.307,0.264,0,-5.662,1,0.674,0.92
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,4,181.967,0.498,0.159,0,0.00299,0.269,1,-5.474,2,0.816,0.815
6gpcs5eMhJwax4mIfKDYQk,Slide (feat. Frank Ocean & Migos),Calvin Harris,4,104.066,0.511,0.254,1.21e-06,0.498,0.0545,0,-3.299,1,0.795,0.736
2n5gVJ9fzeX2SSWlLQuyS9,Fight Night,Migos,4,89.968,0.895,0.334,0,0.182,0.207,1,-5.132,1,0.706,0.874
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),Migos,4,127.076,0.175,0.123,0,0.061,0.244,1,-5.313,11,0.665,0.927
0nhVrTiCGiGRCoZOJiWzm1,Danger (with Migos & Marshmello),Migos,4,107.996,0.367,0.163,0,0.152,0.159,1,-2.968,9,0.743,0.814
0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),Migos,4,132.05,0.334,0.339,0,0.0218,0.243,0,-4.271,6,0.705,0.845
7KOlJ92bu51cltsD9KU5I7,T-Shirt,Migos,4,139.023,0.486,0.158,0,0.242,0.217,0,-3.744,10,0.687,0.865
0wbnC9AUenxp613TYaJsGK,Narcos,Migos,4,124.987,0.238,0.139,0,0.0146,0.136,0,-6.948,7,0.588,0.936
3DxZfFYJLwKDJtUwnLEhkL,Solitaire (feat. Migos & Lil Yachty),Gucci Mane,4,138.016,0.436,0.106,0,0.0271,0.329,0,-7.977,11,0.54,0.811
76Y0gxtTxN0FyDCYh5qYQj,Get Right Witcha,Migos,4,136.98,0.62,0.103,1.19e-05,0.0646,0.238,0,-5.861,10,0.743,0.95
3OnOomd79OjqSYHchCQ6ht,Notice Me,Migos,4,166.0,0.474,0.165,1.12e-06,0.104,0.315,0,-9.754,5,0.338,0.796
6rcKz2VYbcaHJ0qSXucR56,Too Hotty,Quality Control,4,130.027,0.163,0.106,0,0.179,0.2,1,-7.202,1,0.406,0.884
